source_sentence,target_sentence
"""Louis Mayer wanted to stage a scandal (""""knock her off her pedestal"""") to garner public sympathy for Gish, but Lillian didn't want to act both on screen and off, and returned to her first love, the theater.""","""ⵉⵔⴰ ⵍⵓⵉⵙ ⵎⴰⵢⵔ ⴰⵉⵙⵙⵓⴷⵙ ⵢⴰ ⵓⴷⴰⵛⴰⴼ (""""ⵏⵓⴽ ⵀⴻⵔ ⵓⴼⴼ ⵀⴻⵔ ⴱⴻⴷⴻⵙⵜⵍⵍ"""") ⴱⴰⵛ ⴰⵢⵙⵎⵓⵏ ⵜⴰⵖⵓⵙⵉ ⵉ ⴳⵉⵛ, ⵎⴰⵛ ⵍⵉⵍⵢⴰⵏ ⵜⵓⴳⵉ ⴰⵜⵍⵄⴱ ⵖ ⵙⵙⵉⵏⵉⵎⴰ ⴷ ⴱⵕⵕⴰⵏⵙ, ⴷ ⵜⵓⵔⵔⵉⴷ ⵙ ⵜⴰⵢⵔⵉⵏⵙ ⵉⵣⵡⴰⵔⵏ, ⴰⵎⵣⴳⵓⵏ."
"Returning to movies, Gish was nominated for the Academy Award for Best Supporting Actress in 1946 for Duel in the Sun.","ⵍⵍⵉⵖ ⵜⵓⵔⵔⵉⴷ ⵙ ⵍⴰⴼⵍⴰⵎ, ⵜⵙⵎⵎⴰ ⴳⵉⵛ ⵉ ⵜⴰⵙⵎⵖⵓⵔⵜ ⵏⵜⴽⴰⴷⵉⵎⵉⵜ ⵍ ⵜⴰⵙⵎⴷⴰⵢⵜ ⵜⴰⵎⴰⴼⴰⵢⵜ ⵖ 1946 ⵉ ⴷⵓⵍ ⵉⵏ ⴷⴰ ⵚⵚⴰⵏ."
"She was considered for various roles in Gone with the Wind ranging from Ellen O'Hara, Scarlett's mother (which went to Barbara O'Neil), to prostitute Belle Watling (which went to Ona Munson).","ⵜⵙⵡⵉⵏⴳⵎ ⵖ ⵎⵏⵏⴰⵡ ⵏ ⵜⵉⵍⴰⵍⵉⵏ ⵖ ⴳⵓⵏ ⵡⵉⴷ ⴷⴰ ⵡⵉⵏⴷ ⴳ ⵉⵍⵍⵉⵏ oⵀⴰⵔⴰ, ⵉⵏⵏⴰⵙ ⵏ ⵙⴽⴰⵔⵍⵉⵜ (ⵍⵍⵉ ⵉⴼⵜⴰⵏ ⵙ ⴱⴰⵔⴱⴰⵔⴰ oⵏⵉⵍ), ⴰⵔ ⵜⴰⵎⴳⴳⴰⵏⵜ ⴱⵉⵍⵍ ⵡⴰⵍⵜⵉⵏⴳ (ⵍⵍⵉ ⵉⴼⵜⴰⵏ ⵙ ⵓⵏⴰ ⵎⵓⵏⵙⵓⵏ)."
She appeared as Dowager Empress Maria Feodorovna in the short-lived 1965 Broadway musical Anya.,ⵜⵓⴳⴳⵯⵉ ⴰⵎ ⵎⴰⵔⵉⴰ ⴼⵢⵓⴷⵓⵔⵓⴼⵏⴰ ⵜⴰⴳⵍⴷⵉⵜ ⵏ ⴷoⵡⴰⴳⴻⵔ ⵖ ⵜⴰⵎⵣⴳⵓⵍⵜ ⵏ ⵓⵣⴰⵡⴰⵏ ⵉⴷⵔⵓⵙⵏ ⵖ ⴱⵔⵓⴷⵡⴰⵢ ⵏ 1965 ⴰⵏⵢⴰ.
She was interviewed in the television documentary series Hollywood: A Celebration of the American Silent Film (1980).,ⵜⵎⵙⵇⵙⴰ ⵖ ⵓⵙⴷⴷⵉ ⵓⵏⵜⵉⵎ ⵏ ⵜⵉⵍⵉⴼⵉⵣⵢⵓⵏ ⵀⵓⵍⵉⵡⵓⴷ: ⴰ ⵙⵉⵍⵉⴱⵔⵉⵛⵏ ⵓⴼ ⴷⴰ ⴰⵎⵉⵔⵉⴽⴰⵏ ⵙⴰⵢⵍⵏⵜ ⴼⵉⵍⵎ (1980).
She has a star on the Hollywood Walk of Fame at 1720 Vine Street.,ⵜⴰⵔⵙ ⵢⴰⵜ ⵜⵉⵜⵔⵉⵜ ⵖ ⵡⴰⵍⴽ oⴼ ⴼⵉⵎ ⵖ ⵀⵓⵍⵉⵡⵓⴷ ⵖ 1720 ⴼⴰⵢⵏ ⵙⵜⵔⵉⵜ.
"At the Cannes festival, Gish won a 10-minute standing ovation from the audience.","ⵖ ⵓⵍⵎⵓⴳⴳⴰⵔ ⵏ ⴽⴰⵏ, ⴳⵉⵛ ⵜⵔⴱⵃ ⴰⵙⴱⵉⴷ ⵏ 10-ⵏⵜⵓⵙⴷⵉⴷⵉⵏ ⴷⴰⵔ ⵓⴳⴷⵓⴷ."
"""The episode """"Marry for Murder"""" was broadcast on September 9, 1943.""","""ⵜⵣⵓⵙⵙⵔ ⵜⵉⵏⴷⵔⵜ """"ⵎⴰⵔⵉ ⴼⵓⵔ ⵎⵓⵔⴷⵔ"""" ⵖ 9 ⵛⵓⵜⴰⵏⴱⵉⵔ, 1943."""
"She was awarded an Academy Honorary Award in 1971, and in 1984 she received an AFI Life Achievement Award.","ⵓⵛⵛⵏⴰⵙ ⵜⴰⵙⵎⵖⵓⵔⵜ ⵜⴰⵙⵍⵍⵓⵎⵎⵜ ⵏ ⵜⴽⴰⴷⵉⵎⵉⵜ ⵖ 1971, ⵖ 1984 ⵓⵛⵛⵏⴰⵙ ⵜⴰⵙⵎⵖⵓⵔⵜ ⵏ ⴰⴼⵉ ⵍⴰⵢⴼ ⴰⵜⵛⵉⴼⵎⵏⵜ."
The University awarded Gish the honorary degree of Doctor of Performing Arts the next day.,ⵜⴰⵙⴷⴰⵡⵉⵜ ⵜⵓⵛ ⵉ ⴳⵉⵛ ⴷⴷⵓⴽⵜⵓⵔⴰ ⵜⴰⵙⵍⵍⵓⵎⵎⵜ ⵖ ⴰⵙⵙ ⴰⵡⴰⵔ.
"Following Gish's 1993 death, the University raised funds to enlarge its gallery to display memorabilia received from Gish's estate.","ⵍⵍⵉⵖ ⵜⵎⵎⵓⵜ ⴳⵉⵛ ⵖ 1993, ⵜⵙⵎⵓⵏ ⵜⴰⵙⴷⴰⵡⵉⵜ ⵉⵇⴰⵕⵉⴹⵏ ⴱⴰⵛ ⴰⴷ ⵙⵅⴰⵜⴰⵔⵏ ⵜⴰⵙⵏⵏⵉⵖⵜ ⵏ ⵉⴽⵜⵜⴰⵢⵏ ⵏ ⴳⵉⵛ."
"The association between herself and D. W. Griffith was so close that some suspected a romantic connection, an issue never acknowledged by Gish, although several of their associates were certain they were at least briefly involved.","ⴰⵛⵔⴰⴽ ⵏⴳⵔⴰⵙ ⴷ D. W. ⴳⵔⵉⴼⵉⵜ ⵉⵇⵕⴱ ⴱⴰⵀⵔⴰ ⴰⵢⵍⵉⵖ ⵏⵏⴰⵏ ⴽⵔⴰ ⵉⵙ ⴳⴰⵏ ⵉⵎⴰⵔⴰⵢⵏ, ⵖⴰⵢⴰⴷ ⵓⵔ ⵊⵊⵓ ⴳⵉⵙ ⵜⵙⴰⵡⵍ ⴳⵉⵛ, ⵎⴰⵛ ⵎⵏⵏⴰⵡ ⵍⵍⵉ ⴷⵉⵙ ⵉⵇⵇⵔⴱⵏ ⴰⵡⵔⵏ ⵉⵙ ⴳⴰⵏ ⴻⵎⴰⵔⴰⵢⵏ."
"In the 1920s, Gish's association with Duell became something of a tabloid scandal when he sued her and made the details of their relationship public.","ⵖⵓⵙⴳⴳⵯⴰⵙⵏ ⵏ 1920, ⴰⵛⵔⴰⴽ ⵏ ⴳⵉⵛ ⴷ ⴷⵓⵍⵍ ⵉⵏⵏⴼⵍ ⵙ ⵓⴽⴰⵛⴰⴼ ⵍⵉⵖ ⵜⵉⴹⴼⵕ ⵖ ⵜⴰⵙⵏⴱⴷⴰⵢⵜ ⴷ ⵉⵙⴼⴼⵓⵖ ⴻⴼⵔⵓⵔⵉⵜⵏ ⵏ ⵓⵛⵔⴰⴽⵏⵙⵏ ⵉ ⵡⴰⴳⴷⵓⴷ."
George Jean Nathan praised Gish's acting glowingly—comparing her to Eleonora Duse.,ⵉⵙⵙⵉⵎⵖⵓⵔ ⵊⵓⵔⵊ ⵊⵉⵏ ⵏⴰⵜⴰⵏ ⴱⴰⵀⵔⴰ ⵓⵔⴰⵔⵏⵙ —ⴷ ⵉⵙⵎⵢⴻⴼⵜ ⵙ ⵉⵍⵉoⵏoⵔⴰ ⴷⵓⵙ.
"During the period of political turmoil in the US that lasted from the outbreak of World War II in Europe until the attack on Pearl Harbor, she maintained an outspoken non-interventionist stance.","ⵍⵍⵉⵖ ⵜⵍⵍⴰ ⵜⴰⵙⵙⴰⵙⵜ ⵜⴰⵙⵔⵜⴰⵏⵜ ⵖ ⵎⵉⵔⵉⴽⴰⵏ ⵍⵍⵉ ⵜⴽⴽⴰ ⵖ ⵍⵍⵉⵖ ⵉⴱⴷⴰ ⴰⵎⴳⴰⵔⵓ ⴰⵎⴰⴹⵍⴰⵏ ⵡⵉⵙⵙ ⵙⵉⵏ ⵖ ⵍⵓⵔⵓⵒ ⴰⵔ ⴰⵙⵓⴳⵉ ⵏ ⴱⴻⵔⵍ ⵀⴰⵔⴱⴻⵔ, ⵜⵖⴰⵎⴰ ⵖ ⵜⵉⵎⵙⵔⵉ ⵜⴰⵙⴼⵏⵥⴰⵢⵜ."
"Joseph Frank Keaton (October 4, 1895 – February 1, 1966), known professionally as Buster Keaton, was an American actor, comedian, film director, producer, screenwriter, and stunt performer.","ⵊⵓⵣⵉⴼ ⴼⵔⴰⵏⴽ ⴽⵉⵜⵓⵏ (4 ⴽⵟⵓⴱⵕ, 1895 – 1 ⴱⵕⴰⵢⵕ, 1966), ⵉⵜⵓⵙⵙⴰⵏ ⵙ ⴱⵓⵙⵜⵔ ⴽⵉⵜⵏ, ⵉⴽⴽⴰⵜⵉⵏ ⵉⴳⴰ ⴰⵙⵎⴷⵢ, ⴰⵎⵙⵓⴼⵖ ⵏ ⵍⴰⴼⵍⴰⵎ, ⴰⵎⵙⵢⴰⴼⵓ, ⴰⵏⴰⵙⵔⴰⵢ ⵍ ⵓⵙⵉⵏⴰⵔⵢⵓ ⴰⵎⵉⵔⵉⴽⴰⵏⵉ."
His career declined when he signed with Metro-Goldwyn-Mayer and lost his artistic independence.,ⵜⴷⵔⵓⵙ ⵍⵅⴷⵎⵜⵏⵙ ⵍⵍⵉⵖ ⵉⵙⴳⵎⴹ ⴷ ⵎⵉⵜⵔⵓ-ⴳⵓⵍⴷⵡⵢⵏ-ⵎⴰⵢⴻⵔ ⴷ ⵉⵄⴷⴷⵎ ⵜⴰⵙⵉⵎⴰⵏⵜ ⵜⴰⵏⴰⵣⵓⵔⵜⵏⵙ.
"Many of Keaton's films from the 1920s remain highly regarded, such as Sherlock Jr. (1924), The General (1926), and The Cameraman (1928).","ⵜⵓⴳⴳⵜ ⵏ ⵍⴰⴼⵍⴰⵎ ⵏ ⴽⵉⵜⵓⵏ ⵖ ⵉⵙⴳⴳⵯⴰⵙⵏ ⵏ 1920 ⴷⴰⵔⵙⵏ ⴰⵀⴰⵎⵢⴰ ⵉⴳⴳⵓⵜⵏ, ⵣⵓⴳ ⵛⵉⵔⵍⵓⴽ ⵊⵔ. (1924), ⴷⴰ ⴷⵊⵉⵏⵉⵔⴰⵍ (1926), ⴷ ⴷⴰ ⴽⵉⴼⵎⴰⵏ (1928)."
"""His father was Joseph Hallie """"Joe"""" Keaton, who owned a traveling show with Harry Houdini called the Mohawk Indian Medicine Company, or the Keaton Houdini Medicine Show Company, which performed on stage and sold patent medicine on the side.""","""ⵉⴱⴱⴰⵙ ⵉⴳⴰ ⵊoⵣⵉⴼ ⵀⴰⵍⵍⵉ """"ⵊⵓ"""" ⴽⴻⵜⵓⵏ, ⵍⵍⵉ ⵉⵎⵎⵓⴷⴷⴰⵏ ⴷ ⵀⴰⵔⵔⵉ ⵀⵓⴷⵉⵏⵉ ⵖ ⵓⴼⵕⵕⵊⵏⵙⵏ ⵉⵙⵎⴰⵙ ⴷⴰ ⵎⵓⵀⴰⴽ ⵉⵏⴷⵢⴰⵏ ⵎⵉⴷⵉⵙⵉⵏ ⴽⵓⵎⴱⴰⵏⵉ, ⵏⵖⴷ ⴷⴰ ⴽⴻⵜⵓⵏ ⵀⵓⴷⵉⵏⵉ ⵎⵉⴷⵉⵛⵉⵏ ⵛⵓ ⴽoⵎⴱⴰⵏⵉ, ⴳⴰⵏ ⴰⴼⵕⵕⵊ ⴷ ⴰⵔ ⵥⵏⵣⴰⵏ ⴰⵙⴰⴼⴰⵔ."""
"In Keaton's retelling, he was six months old when the incident occurred, and Harry Houdini gave him the nickname.","ⵙ ⵡⴰⵍⵍⴰⵙ ⵏ ⴽⵉⵜⵓⵏ, ⵉⴽⴽⴰⵜⵉⵏ ⴷⴰⵔⵙ ⵙⴷⵉⵙ ⵉⵢⵢⵓⵔⵏ ⵍⵉⵖ ⵉⴳⴳⵓⵔⵓ ⴰⵎⵣⵣⵓ, ⴷ ⵉⴼⴰⵢⴰⵙ ⵀⵓⴷⵉⵏⵉ ⵉⵙⵎⵏⵙ."
The act was mainly a comedy sketch.,ⵉⴽⴽⴰⵜⵉⵏ ⵉⴳⴰ ⵙⴽⵉⵜⵛ ⵏ ⵍⴽⵓⵎⵉⴷⵉⴰ.
A suitcase handle was sewn into Keaton's clothing to aid with the constant tossing.,ⴰⴽⴰⵔⴰⵎ ⵏ ⵜⴰⵙⵓⴼⵔⵜ ⵉⴳⵏⴰ ⵖ ⵉⵎⴽⵔⴰⴹ ⵏ ⴽⵉⵜⵓⵏ ⴱⴰⵛ ⴰⵜⵏ ⵉⵄⴰⵡⵏ ⵖ ⴰⴳⵯⵔ ⵏ ⵡⴰⵍⵍⴰⵙ.
"However, Buster was always able to show the authorities that he had no bruises or broken bones.","ⵎⴰⵛ, ⴱⵓⵙⵜⵔ ⵉⵥⴹⴰⵔ ⴰⵢⵎⵍ ⵉ ⵜⵉⵏⴱⴰⴹⵉⵍ ⵎⴰⴼ ⴷⴰⵔⵙ ⵓⵔ ⵍⵍⴰⵏⵜ ⵉⴱⵔⴰⵢⵏ."
Several times I'd have been killed if I hadn't been able to land like a cat.,ⵎⵏⵏⴰⵡⵜ ⵜⵡⴰⵍ ⴰⴷ ⵏⵏⵉⵖ ⵉⵙ ⵔⴰⴷ ⵎⵎⵓⵜⵖ ⵍⵉⵖ ⵓⵔ ⴳⴳⵯⵉⵣⵖ ⵣⵓⴷ ⴰⵎⵓⵛ.
"Noticing that this caused the audience to laugh less, he adopted his famous deadpan expression when performing.","ⵍⵍⵉⵖ ⵉⵣⵔⴰ ⵉⴳⴷⵓⴷⵏ ⵓⵔ ⴰⵙⵓⵍ ⴱⴰⵀⵔⴰ ⴷⵚⵚⴰⵏ, ⵉⵙⵙⴳⵎ ⴰⵄⵔⵉⵏⵙ ⵍⵍⵉⵖ ⴰⵢⵜⵜⵍⵄⴰⴱ."
"Despite tangles with the law and a disastrous tour of music halls in the United Kingdom, Keaton was a rising star in the theater.","ⵡⴰⵅⵅⴰ ⴷⴰⵔⵙ ⵜⵉⵎⵓⴽⵔⵉⵙⵉⵏ ⴷ ⵉⵣⵔⴼ ⴷ ⵍⵊⴰⵡⵍⴰ ⵜⴰⵄⴷⵔⵉⵇ ⵏ ⵜⴰⴷⴰⵍⴰ ⵏ ⵓⵣⴰⵡⴰⵏ ⵖ ⴱⵔⵉⵟⴰⵏⵢⴰ, ⴽⵉⵜⵓⵏ ⵉⴳⴰ ⵉⵜⵔⵉ ⵖ ⵓⵎⵣⴳⵓⵏ."
"""In February 1917, he met Roscoe """"Fatty"""" Arbuckle at the Talmadge Studios in New York City, where Arbuckle was under contract to Joseph M. Schenck.""","""ⵖ ⴱⵔⴰⵢⵔ ⵏ 1917, ⵉⵎⵎⴰⵇⵇⴰⵕ ⴷ ⵔⵓⵙⴽⵓ """"ⴼⴰⵜⵜⵉ"""" ⴰⵔⴱⵓⴽⵍ ⵖ ⵙⵜⵓⴷⵉⵓ ⵏ ⵜⴰⵍⵎⴰⵊ ⵖ ⵜⴰⵎⴷⵉⵏⵜ ⵏ ⵏⵢⵓ ⵢⵓⵔⴽ, ⵍⵉⵖ ⵜⵍⵍⴰ ⴰⵔⴱⵓⴽⵍ ⵖ ⵜⴰⵎⵅⵓⵏⵜ ⴷ ⵊⵓⵣⵉⴼ ⵎ. ⵛⵉⵏⴽ."""
"Buster was such a natural in his first film, The Butcher Boy, he was hired on the spot.","ⴱⴰⵙⵜⵔ ⵉⴽⴽⴰⵜⵉⵏ ⵉⴳⴰ ⴰⴳⴰⵎⴰⵏ ⴳ ⵍⴼⵉⵍⵎⵏⵙ ⵉⵣⵡⴰⵔⵏ, ⴷⴰ ⴱⵉⵜⵛⵔ ⴱⵓⵢ, ⵉⵅⴷⵎ ⵏⵉⵛⴰⵏ."
Keaton later claimed that he was soon Arbuckle's second director and his entire gag department.,ⴰⵡⵔⵉⵏⵏ ⴽⵉⵜⵓⵏ ⵉⵏⵏⴰ ⵉⵙ ⵔⴰⵢⴳⴰ ⴰⵏⵎⵀⴰⵍ ⵡⵉⵙⵙⵉⵏ ⵏ ⴰⵔⴱⵓⴽⵍ ⴷ ⴽⵓⵍⵍⵓ ⵜⴰⵣⵓⵏⵉⵏⵙ.
"It was based on a successful play, The New Henrietta, which had already been filmed once, under the title The Lamb, with Douglas Fairbanks playing the lead.","ⵉⵜⵓⴽⵙⵙⴰ ⴳ ⵢⴰⵜ ⵜⴰⵎⵣⴳⵓⵏⵜ ⵢⵜⵜⵓⵙⵙⴰⵏ, ⴷⴰ ⵏⵢⵓ ⵀⵉⵏⵔⵉⵢⵉⵜⵜⴰ, ⵍⵍⵉ ⵉⵜⵜⴰⴷⵢⴰⴼⵓⵙⵏ ⵢⴰⴷ ⵢⴰⵜ ⵜⵡⴰⵍ, ⵙ ⵓⵣⵡⵍ ⵏ ⴷⴰ ⵍⴰⵎⴱ, ⴷ ⴷⵓⴳⵍⴰⵙ ⴼⵉⵔⴱⴰⵏⴽⵙ ⵉⵄⵢⵢⵔⵏ ⴰⵏⴰⴹ."
